REPOSITORY                                                                                                 TAG                                                               IMAGE ID      CREATED             SIZE
<none>                                                                                                     <none>                                                            8ffe6d3ad053  3 weeks ago         121 MB
<none>                                                                                                     <none>                                                            0e914ba31ef0  3 weeks ago         121 MB
<none>                                                                                                     <none>                                                            791c1c951d25  3 weeks ago         121 MB
<none>                                                                                                     <none>                                                            e9409e52681d  3 weeks ago         121 MB
<none>                                                                                                     <none>                                                            94d7ecd01da4  3 weeks ago         121 MB
<none>                                                                                                     <none>                                                            3ef9da1c6f2c  3 weeks ago         121 MB
gcr.io/distroless/static-debian12                                                                          latest                                                            401fe2da3270  3 weeks ago         3.06 MB
gcr.io/distroless/nodejs18-debian12                                                                        latest                                                            06a10e1aef94  4 weeks ago         170 MB
<none>                                                                                                     <none>                                                            24c98f086bb3  4 weeks ago         170 MB
<none>                                                                                                     <none>                                                            41b429003df2  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            df1b04d0b194  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            ab86530a49a9  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            992b3eb9b949  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            a470a07338d8  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            a5be93b403f7  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            43c84998b5e1  4 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            b78f7df467db  4 weeks ago         1.14 GB
<none>                                                                                                     <none>                                                            bca006ea54a0  4 weeks ago         1.12 GB
docker.io/library/python                                                                                   3.9                                                               e301b6ca4781  4 weeks ago         1.02 GB
docker.io/library/python                                                                                   3.10-bookworm                                                     c05d0a2417a0  4 weeks ago         1.02 GB
docker.io/ollama/ollama                                                                                    latest                                                            2bb0e032ee9a  4 weeks ago         410 MB
docker.io/library/node                                                                                     18-bookworm                                                       acc6f84723fc  4 weeks ago         1.12 GB
docker.io/library/debian                                                                                   latest                                                            e3cbd207d8e5  4 weeks ago         121 MB
docker.io/library/debian                                                                                   bookworm                                                          e3cbd207d8e5  4 weeks ago         121 MB
docker.io/moby/buildkit                                                                                    buildx-stable-1                                                   480495983c47  4 weeks ago         173 MB
localhost/vsc-bazel-playground-a3ea0fe94a6d7b16b5ac571f679d5ba50071029e746614bf49e652163604b3af            latest                                                            d982cd8c8187  4 weeks ago         1.13 GB
localhost/vsc-frameworks-comparison-a6b011320836ae0329edc0cc452682dcbe021bd93e97d2032c999328213e6298       latest                                                            d982cd8c8187  4 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            eb4fc030283a  4 weeks ago         1.13 GB
localhost/vsc-frameworks-comparison-f93a222ee54a1b858dfeaa16b6f5a16bf79e6b6e3222f28bd1b3fe03fc7d5b61       latest                                                            d982cd8c8187  4 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            dc56147fe04c  4 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            c81634c22c96  4 weeks ago         4.81 GB
localhost/vsc-tokio-playground-71e002ca038606de37992b8788281a450fb0b4a1287c79a0628743a45b67c675            latest                                                            4a28df2ee1e7  4 weeks ago         1.93 GB
localhost/vsc-axum-f987ba8541f695d53e1dc7ff24ab1df395ba5815ee529fc16b74823ae2ac229e                        latest                                                            4a28df2ee1e7  4 weeks ago         1.93 GB
localhost/vsc-pants-python-monorepo-demo-d7e8594309ac991eb21563cb86ed6b7a2b1618c4d77527898673fcd48bb5c429  latest                                                            4a28df2ee1e7  4 weeks ago         1.93 GB
<none>                                                                                                     <none>                                                            46d40be5b4d6  4 weeks ago         1.93 GB
<none>                                                                                                     <none>                                                            1f78fdb16d53  4 weeks ago         1.5 GB
docker.io/library/authz_devcontainer-bundler                                                               latest                                                            ac41c9374380  4 weeks ago         1.5 GB
<none>                                                                                                     <none>                                                            b4cc7a658922  4 weeks ago         1.5 GB
<none>                                                                                                     <none>                                                            e2eb71824b2b  4 weeks ago         1.5 GB
<none>                                                                                                     <none>                                                            75d57ca125cc  4 weeks ago         1.5 GB
<none>                                                                                                     <none>                                                            2ebb6dbdb383  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            dd1e4d279c5b  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            ebe6a7f6649b  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            0c63d15be3cf  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            26c0d19475e8  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            c9a3ca167c64  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            f7937b8e9fe8  4 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            cc779ecc334e  4 weeks ago         102 kB
localhost/dev_container_feature_content_temp                                                               latest                                                            7c92a405276f  4 weeks ago         101 kB
<none>                                                                                                     <none>                                                            d04b2cdbfa3d  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            a2ea3fbf1593  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            e193816115fe  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            5632b788239f  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            41e9ad8bfce1  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            8cdfc5791782  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            ac1a01884196  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            53762e667602  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            284ec497da70  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            fa2fa373f844  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            273a69dd5366  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            8c60ca83d2c3  4 weeks ago         2.33 GB
localhost/vsc-volume-bootstrap                                                                             latest                                                            e935828e97f8  4 weeks ago         804 MB
docker.io/library/rustdevcontainer_devcontainer-vscode                                                     latest                                                            3397e7eb0656  4 weeks ago         1.24 GB
<none>                                                                                                     <none>                                                            ff29005590cd  4 weeks ago         1.24 GB
<none>                                                                                                     <none>                                                            597aaf0606fa  4 weeks ago         1.24 GB
docker.io/library/devcontainer-app                                                                         latest                                                            dd7787d97c73  4 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            d165bc35e7a7  4 weeks ago         2.33 GB
docker.io/library/node                                                                                     20.11.0-alpine3.19                                                530b955dc368  5 weeks ago         139 MB
<none>                                                                                                     <none>                                                            2b104b354c17  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            308c58adba61  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            94d0f213e434  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            20765e9834d2  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            cb55a044cb10  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            62e24b12d0a4  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            ebc99cde8ec2  5 weeks ago         1.08 GB
<none>                                                                                                     <none>                                                            f01c78110662  5 weeks ago         1.06 GB
<none>                                                                                                     <none>                                                            711288bfc2a6  5 weeks ago         1.06 GB
<none>                                                                                                     <none>                                                            3566e84fa8e7  5 weeks ago         1.06 GB
<none>                                                                                                     <none>                                                            36bddc5b7d2c  5 weeks ago         1.06 GB
<none>                                                                                                     <none>                                                            556eeacf066d  5 weeks ago         1.03 GB
gcr.io/bazel-public/bazel                                                                                  latest                                                            99787fe3aa83  5 weeks ago         1.03 GB
<none>                                                                                                     <none>                                                            c703fff80ba8  6 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            fdfd46e296cc  6 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            b3fac1c0ffe8  6 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            af379efbca3d  6 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            963d48b15bd8  6 weeks ago         1.29 GB
<none>                                                                                                     <none>                                                            ba17b07c3219  6 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            73116c92fadf  6 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            5ae764fa8d9d  6 weeks ago         1.15 GB
<none>                                                                                                     <none>                                                            664278e63467  6 weeks ago         102 kB
<none>                                                                                                     <none>                                                            78e266ae6798  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            85e0edaa77cb  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            a7bfc48fc725  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            7a95a1db5a53  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            c89e144a54e6  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            c33beee4347a  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            7e4e6c3c01fc  6 weeks ago         1.17 GB
<none>                                                                                                     <none>                                                            9cbe21664ee1  6 weeks ago         1.16 GB
<none>                                                                                                     <none>                                                            a455dfd83a0f  6 weeks ago         1.02 GB
docker.io/library/busybox                                                                                  latest                                                            3f57d9401f8d  6 weeks ago         4.5 MB
localhost/vsc-for-beginners-ced007ae507391cf65b467cdba3a157e84ef7d41896289e1e9b46cdaaca6b614               latest                                                            47d35329de8f  6 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            1f36317d6a4d  6 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            49f7d6b1b35b  6 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            fe9e69e30324  6 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            a7e64fdfff3e  6 weeks ago         1.13 GB
docker.io/library/node                                                                                     18-bullseye                                                       a4e2c7d8dce7  6 weeks ago         1.02 GB
docker.io/library/node                                                                                     20-bookworm                                                       c72e853a4f08  6 weeks ago         1.12 GB
registry.hub.docker.com/library/node                                                                       21-bookworm                                                       97daf4a7c830  6 weeks ago         1.13 GB
<none>                                                                                                     <none>                                                            eb2d50b758a5  6 weeks ago         841 MB
<none>                                                                                                     <none>                                                            0711a288f92c  6 weeks ago         841 MB
<none>                                                                                                     <none>                                                            e0c569eae7a2  6 weeks ago         841 MB
<none>                                                                                                     <none>                                                            2d3b70a25630  6 weeks ago         841 MB
<none>                                                                                                     <none>                                                            c302b89c6c40  6 weeks ago         841 MB
<none>                                                                                                     <none>                                                            753da533b231  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            223e73fed229  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            69ef9fb1810d  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            cfec93eb2a51  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            630915910836  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            d5da6948d18d  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            1988d7df23c5  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            56e037f65e14  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            56300279e9de  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            e541687e2bd6  7 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            1de135cc69b8  7 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            2447fca53fd8  7 weeks ago         2.33 GB
localhost/vsc-mini-redis-test-b7122d2874d7c74d9804b4c04830c414733b65058f05b1cdd172be9760416a28             latest                                                            e1ceb1e31cb7  7 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            363102fcb5b7  7 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            3e29e0c7b493  7 weeks ago         2.33 GB
<none>                                                                                                     <none>                                                            77d27b075635  7 weeks ago         2.33 GB
localhost/vsc-dedi-web-00aa976a295d2ab7f5ea35a5c14218bf6dba73eb8f1d033b13aec990476e0c93                    latest                                                            e9f31ba06145  7 weeks ago         690 MB
<none>                                                                                                     <none>                                                            4fd8382eeb37  7 weeks ago         690 MB
<none>                                                                                                     <none>                                                            3d39b36392e9  7 weeks ago         690 MB
<none>                                                                                                     <none>                                                            721fe4d93324  7 weeks ago         688 MB
<none>                                                                                                     <none>                                                            bce6404fef54  7 weeks ago         140 MB
<none>                                                                                                     <none>                                                            5cf457c290b1  7 weeks ago         139 MB
<none>                                                                                                     <none>                                                            2b91a1c60437  7 weeks ago         140 MB
<none>                                                                                                     <none>                                                            b3b518b294db  7 weeks ago         659 MB
<none>                                                                                                     <none>                                                            d597f7b86a78  7 weeks ago         659 MB
<none>                                                                                                     <none>                                                            d30dcf3624ba  7 weeks ago         659 MB
<none>                                                                                                     <none>                                                            f17910511f8b  7 weeks ago         659 MB
<none>                                                                                                     <none>                                                            a959338fb498  7 weeks ago         659 MB
registry.hub.docker.com/library/node                                                                       20-alpine                                                         b677a20cbee9  7 weeks ago         139 MB
mcr.microsoft.com/devcontainers/rust                                                                       1-1-bullseye                                                      7a1efefafebd  7 weeks ago         2.19 GB
mcr.microsoft.com/devcontainers/rust                                                                       1-bullseye                                                        7a1efefafebd  7 weeks ago         2.19 GB
mcr.microsoft.com/devcontainers/base                                                                       alpine-3.18                                                       7dd64dfcb8f4  7 weeks ago         659 MB
mcr.microsoft.com/devcontainers/base                                                                       bullseye                                                          340d7b08888d  7 weeks ago         841 MB
<none>                                                                                                     <none>                                                            4ed6691cdb5a  8 weeks ago         804 MB
<none>                                                                                                     <none>                                                            8d84b2671e81  8 weeks ago         803 MB
<none>                                                                                                     <none>                                                            380c89218487  8 weeks ago         795 MB
docker.io/library/devcontainer-bundler                                                                     latest                                                            0d72c75dbc5c  8 weeks ago         1.4 GB
<none>                                                                                                     <none>                                                            6cd0724e47b0  8 weeks ago         1.4 GB
docker.io/library/rust                                                                                     1.75.0-bullseye                                                   fcebaadf06f8  2 months ago        1.37 GB
docker.io/library/python                                                                                   3.11                                                              52f488aeec1e  2 months ago        1.03 GB
docker.io/otel/opentelemetry-collector                                                                     0.91.0                                                            620cdf4b56a9  2 months ago        102 MB
docker.io/prom/prometheus                                                                                  v2.48.1                                                           ea7f826b1553  2 months ago        248 MB
<none>                                                                                                     <none>                                                            1914fd132ec5  2 months ago        782 MB
<none>                                                                                                     <none>                                                            67fa0ea7ee0c  2 months ago        780 MB
<none>                                                                                                     <none>                                                            0108d4abdf09  2 months ago        772 MB
<none>                                                                                                     <none>                                                            68d53e5a04a2  2 months ago        583 MB
localhost/test8                                                                                            latest                                                            fb8afd91aad5  2 months ago        947 MB
localhost/test7                                                                                            latest                                                            fb8afd91aad5  2 months ago        947 MB
localhost/test6                                                                                            latest                                                            fb8afd91aad5  2 months ago        947 MB
<none>                                                                                                     <none>                                                            c680b9f3428c  2 months ago        947 MB
<none>                                                                                                     <none>                                                            21abc396c36d  2 months ago        946 MB
<none>                                                                                                     <none>                                                            d3ff14531399  2 months ago        946 MB
<none>                                                                                                     <none>                                                            492ad2a9b4b2  2 months ago        946 MB
<none>                                                                                                     <none>                                                            429165c8580e  2 months ago        946 MB
<none>                                                                                                     <none>                                                            5ec78ddd9b8b  2 months ago        946 MB
<none>                                                                                                     <none>                                                            0cda7280c7d2  2 months ago        946 MB
<none>                                                                                                     <none>                                                            f4e01b8ad0cf  2 months ago        582 MB
<none>                                                                                                     <none>                                                            fe8d12389b06  2 months ago        946 MB
<none>                                                                                                     <none>                                                            75e52c7807b6  2 months ago        946 MB
<none>                                                                                                     <none>                                                            f4b020bd16c0  2 months ago        946 MB
localhost/test4                                                                                            latest                                                            c3190daaf61d  2 months ago        946 MB
<none>                                                                                                     <none>                                                            71bd4d2dc78b  2 months ago        946 MB
localhost/test3                                                                                            latest                                                            2174f9489c1f  2 months ago        946 MB
<none>                                                                                                     <none>                                                            5a2de63ecb90  2 months ago        946 MB
<none>                                                                                                     <none>                                                            fd630ae6edd6  2 months ago        946 MB
<none>                                                                                                     <none>                                                            aa3d2544b7ad  2 months ago        946 MB
<none>                                                                                                     <none>                                                            b7da8603da99  2 months ago        582 MB
<none>                                                                                                     <none>                                                            69bb074398a6  2 months ago        582 MB
<none>                                                                                                     <none>                                                            00367962fc81  2 months ago        582 MB
<none>                                                                                                     <none>                                                            e0be3f30d7cf  2 months ago        582 MB
<none>                                                                                                     <none>                                                            f1771907be3e  2 months ago        582 MB
<none>                                                                                                     <none>                                                            65d6334d1ac9  2 months ago        582 MB
<none>                                                                                                     <none>                                                            2b430293bfea  2 months ago        254 MB
<none>                                                                                                     <none>                                                            6cb77d8906af  2 months ago        232 MB
<none>                                                                                                     <none>                                                            25f57328b7e5  2 months ago        231 MB
<none>                                                                                                     <none>                                                            e28664aa623a  2 months ago        231 MB
<none>                                                                                                     <none>                                                            45f9d4b1b1b5  2 months ago        231 MB
<none>                                                                                                     <none>                                                            25ace6e9cfa7  2 months ago        231 MB
<none>                                                                                                     <none>                                                            80c5b92ebb01  2 months ago        129 MB
<none>                                                                                                     <none>                                                            685148d5e862  2 months ago        129 MB
<none>                                                                                                     <none>                                                            6244b3b773da  2 months ago        129 MB
<none>                                                                                                     <none>                                                            c993553eed1d  2 months ago        1.12 GB
<none>                                                                                                     <none>                                                            964872e98646  2 months ago        1.12 GB
localhost/streamlit                                                                                        latest                                                            fc426c718b6c  2 months ago        1.12 GB
<none>                                                                                                     <none>                                                            80c502665fe2  2 months ago        1.12 GB
<none>                                                                                                     <none>                                                            5ef82f3c40dc  2 months ago        651 MB
<none>                                                                                                     <none>                                                            2c881db55f92  2 months ago        651 MB
<none>                                                                                                     <none>                                                            44c5ea5bf3e5  2 months ago        130 MB
<none>                                                                                                     <none>                                                            6e00e16bb9aa  2 months ago        72.6 MB
<none>                                                                                                     <none>                                                            c067b584eee9  2 months ago        72.6 MB
<none>                                                                                                     <none>                                                            c426265fbbe3  2 months ago        72.6 MB
<none>                                                                                                     <none>                                                            905011996b6c  2 months ago        72.6 MB
docker.io/jaegertracing/all-in-one                                                                         1.52.0                                                            f54c2e9a1e62  2 months ago        74.3 MB
<none>                                                                                                     <none>                                                            fa152d3b2cb9  3 months ago        4.5 MB
docker.io/library/alpine                                                                                   latest                                                            b541f2080109  3 months ago        7.63 MB
docker.io/openpolicyagent/opa                                                                              0.59.0                                                            587d17407a9e  3 months ago        73.3 MB
docker.io/library/debian                                                                                   buster-slim                                                       d8bdf44b1764  3 months ago        72.6 MB
mcr.microsoft.com/devcontainers/base                                                                       0-alpine-3.16                                                     77edf9924e90  3 months ago        583 MB
ghcr.io/diamondlightsource/ispyb-database                                                                  v3.0.0                                                            01c3ed015720  3 months ago        410 MB
docker.io/gollumwiki/gollum                                                                                master                                                            845ffbcf04df  4 months ago        318 MB
docker.io/library/python                                                                                   3.9-slim                                                          262f85ec54de  4 months ago        130 MB
docker.io/library/python                                                                                   3.10-slim-bullseye                                                f4856e227921  4 months ago        129 MB
docker.io/library/hello-world                                                                              latest                                                            9c7a54a9a43c  10 months ago       19.9 kB
ghcr.io/diamondlightsource/blueapi                                                                         main                                                              187974d3a524  13 months ago       286 MB
docker.io/qmcgaw/rustdevcontainer                                                                          latest                                                            6db4efe476e8  14 months ago       1.24 GB
docker.io/library/alpine                                                                                   3.16.3                                                            bfe296a52501  15 months ago       5.83 MB
docker.io/gollumwiki/gollum                                                                                v5.3.0                                                            ce5ad11a02fd  21 months ago       254 MB
docker.io/library/postgres                                                                                 14.1                                                              da2cb49d7a8d  2 years ago         382 MB
docker.io/rmohr/activemq                                                                                   5.15.9-alpine                                                     2a52a5b54a40  4 years ago         216 MB
